run_id,enabled,experiment_name,strategy,dataset,model,partitioner,scenario,seed,extra_overrides
1,true,cifar10_fedper_resnet18_iid_baseline_seed0,fedper,cifar10,resnet18,iid,baseline,0,
2,true,cifar10_fedper_resnet18_iid_node_drop_standard_seed0,fedper,cifar10,resnet18,iid,node_drop_standard,0,
3,true,cifar10_fedper_resnet18_iid_node_drop_rolling10_seed0,fedper,cifar10,resnet18,iid,node_drop_rolling_10clients,0,
4,true,cifar10_fedper_resnet18_niid_medium_baseline_seed0,fedper,cifar10,resnet18,dirichlet_medium,baseline,0,
5,true,cifar10_fedper_resnet18_niid_medium_node_drop_standard_seed0,fedper,cifar10,resnet18,dirichlet_medium,node_drop_standard,0,
6,true,cifar10_fedper_resnet18_niid_medium_node_drop_rolling10_seed0,fedper,cifar10,resnet18,dirichlet_medium,node_drop_rolling_10clients,0,
7,true,cifar10_fedper_resnet18_niid_high_baseline_seed0,fedper,cifar10,resnet18,dirichlet_high,baseline,0,
8,true,cifar10_fedper_resnet18_niid_high_node_drop_standard_seed0,fedper,cifar10,resnet18,dirichlet_high,node_drop_standard,0,
9,true,cifar10_fedper_resnet18_niid_high_node_drop_rolling10_seed0,fedper,cifar10,resnet18,dirichlet_high,node_drop_rolling_10clients,0,
10,true,cifar10_ditto_resnet18_iid_baseline_seed0,ditto,cifar10,resnet18,iid,baseline,0,strategy.ditto_mu=0.1 strategy.personal_epochs=null strategy.evaluate_personalized=true
11,true,cifar10_ditto_resnet18_iid_node_drop_standard_seed0,ditto,cifar10,resnet18,iid,node_drop_standard,0,strategy.ditto_mu=0.1 strategy.personal_epochs=null strategy.evaluate_personalized=true
12,true,cifar10_ditto_resnet18_iid_node_drop_rolling10_seed0,ditto,cifar10,resnet18,iid,node_drop_rolling_10clients,0,strategy.ditto_mu=0.1 strategy.personal_epochs=null strategy.evaluate_personalized=true
13,true,cifar10_ditto_resnet18_niid_medium_baseline_seed0,ditto,cifar10,resnet18,dirichlet_medium,baseline,0,strategy.ditto_mu=0.1 strategy.personal_epochs=null strategy.evaluate_personalized=true
14,true,cifar10_ditto_resnet18_niid_medium_node_drop_standard_seed0,ditto,cifar10,resnet18,dirichlet_medium,node_drop_standard,0,strategy.ditto_mu=0.1 strategy.personal_epochs=null strategy.evaluate_personalized=true
15,true,cifar10_ditto_resnet18_niid_medium_node_drop_rolling10_seed0,ditto,cifar10,resnet18,dirichlet_medium,node_drop_rolling_10clients,0,strategy.ditto_mu=0.1 strategy.personal_epochs=null strategy.evaluate_personalized=true
16,true,cifar10_ditto_resnet18_niid_high_baseline_seed0,ditto,cifar10,resnet18,dirichlet_high,baseline,0,strategy.ditto_mu=0.1 strategy.personal_epochs=null strategy.evaluate_personalized=true
17,true,cifar10_ditto_resnet18_niid_high_node_drop_standard_seed0,ditto,cifar10,resnet18,dirichlet_high,node_drop_standard,0,strategy.ditto_mu=0.1 strategy.personal_epochs=null strategy.evaluate_personalized=true
18,true,cifar10_ditto_resnet18_niid_high_node_drop_rolling10_seed0,ditto,cifar10,resnet18,dirichlet_high,node_drop_rolling_10clients,0,strategy.ditto_mu=0.1 strategy.personal_epochs=null strategy.evaluate_personalized=true
